ขาดเงินขาดรัก (คาราโอเกะ) - ก๊อท จักรพันธ์,8oN1yfOR2_I
คาราโอเกะ แพ้ใจ (Pae-Jai) - ใหม่ เจริญปุระ [ Original Karaoke ],EbJ5R8vdSD8
รักข้ามคลอง - ก๊อท จักรพันธ์ (คาราโอเกะ),hU6oDJip2hA
ข้างหลังภาพ : หนู มิเตอร์ [ MIDI KARAOKE &amp; GUITAR ],bS1zhRlfwnY
♬อยากเจอคนจริงใจ ดวงตา คงทอง #karaoke #คาราโอเกะ,ObSDM0kCjMc
คาราโอเกะ ไว้ใจ (Wai-Jai) - อำพล ลำพูน [ Original Karaoke ],gt5I7A3QwRM
ดอกผักบุ้ง-ชาวาลา คาราโอเกะ,8XqcPv608eM
คำวอนก่อนลา - รังษี เสรีชัย | MIDI KARAOKE มิดี้ คาราโอเกะ,XO3_EhmTkvI
ไก่จ๋า - สายัณห์ สัญญา (คาราโอเกะซาวด์ดนตรี),6L2FfjkpJkM
คาราโอเกะ ภูมิแพ้กรุงเทพ (Poom-Pae-Groong-Tep) - ป้าง นครินทร์ Feat.ตั๊กแตน ชลดา,243GsBQA0YY
หักคอไอ้เท่ง คาราโอเกะ - ลำใย ไหทองคำ,QC12f7y7FN0
เจ้าที่แรง : บลูเบอร์รี่ อาร์สยาม [Official Karaoke],ihjXiW6A6fE
